Periode,AG,AI,AR,BE,BL,BS,CH,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH
2016Q1,1866.79,1502.0,1765.1599999999999,2156.36,2312.79,2572.89,2073.3,2042.31,2549.23,1862.9299999999998,1657.29,2242.05,1836.9499999999998,2316.1800000000003,1701.3899999999999,1733.4099999999999,1786.64,1808.1100000000001,2123.51,1811.5,1767.49,2351.95,1593.23,2288.7799999999997,2032.22,1748.94,2032.7199999999998
2016Q2,1838.25,1549.62,1812.51,2118.96,2324.88,2576.95,2067.75,1874.19,2471.8199999999997,1861.4099999999999,1877.8899999999999,2221.54,1753.79,2169.54,1703.76,1789.3,1846.76,1878.59,2107.54,1838.9099999999999,1809.51,2363.6,1590.62,2341.02,2006.82,1694.49,2053.52
2016Q3,1915.5500000000002,1443.51,1711.5700000000002,2038.99,2208.4300000000003,2465.0600000000004,1985.01,1802.26,2317.16,1721.0,1741.1799999999998,2149.8,1758.15,2187.9,1625.74,1697.6399999999999,1766.78,2054.76,2040.38,1726.31,1695.33,2202.48,1567.22,2160.3,1863.5,1675.21,1969.0
2016Q4,1975.07,1508.19,1772.61,2139.8,2304.01,2605.96,2076.15,1850.75,2548.09,1807.87,1822.47,2199.6,1771.78,2267.3,1695.35,1693.04,1827.05,2129.62,2103.79,1795.96,1812.54,2256.69,1658.46,2249.31,1874.18,1667.6999999999998,2104.79
2017Q1,2006.01,1503.54,1739.17,2228.73,2440.4700000000003,2715.7,2170.94,2104.84,2723.64,1990.3899999999999,1803.81,2447.58,1928.69,2368.6,1765.39,1731.47,1892.8600000000001,2197.96,2200.8199999999997,1925.81,1838.32,2300.6499999999996,1668.8000000000002,2419.8199999999997,2140.4700000000003,1784.83,2111.88
2017Q2,1895.27,1456.2800000000002,1757.48,2119.52,2241.35,2514.05,2060.21,1920.68,2503.0699999999997,1773.44,1911.95,2209.91,1792.09,2269.31,1730.61,1808.46,1842.79,1946.4099999999999,2037.6799999999998,1791.7400000000002,1739.03,2557.7200000000003,1646.5700000000002,2278.61,1936.56,1701.38,1996.17
2017Q3,1825.62,1375.93,1714.37,2039.37,2227.67,2514.21,1986.6,1795.52,2374.09,1816.0500000000002,1767.89,2142.26,1748.26,2146.02,1724.8400000000001,1718.46,1789.8899999999999,1979.63,1983.26,1732.54,1727.02,2208.8900000000003,1461.5,2148.08,1904.3000000000002,1660.7800000000002,1988.73
2017Q4,2029.78,1487.8899999999999,1833.69,2226.77,2388.5200000000004,2669.34,2163.37,1933.8000000000002,2695.35,1875.4099999999999,1897.8200000000002,2259.58,1788.82,2364.51,1734.53,1714.3899999999999,1900.87,2070.68,2187.06,1848.88,1881.12,2450.13,1600.17,2399.9700000000003,2024.98,1739.08,2172.04
2018Q1,1910.96,1404.34,1688.22,2210.35,2350.29,2677.94,2089.61,2026.9099999999999,2571.33,1836.9099999999999,1767.1599999999999,2345.88,1662.1399999999999,2467.56,1704.97,1697.01,1788.74,1985.17,2120.28,1790.28,1794.28,2323.8900000000003,1530.19,2295.3199999999997,2109.34,1696.1799999999998,2048.39
2018Q2,1907.45,1473.06,1705.93,2146.36,2303.0299999999997,2695.0,2043.53,1920.5100000000002,2616.7799999999997,1795.77,1858.69,2175.2200000000003,1507.75,2247.77,1590.0,1626.35,1725.34,1917.4299999999998,2062.37,1762.72,1770.67,2468.21,1576.74,2267.15,1930.28,1631.02,1989.02
2018Q3,1854.1799999999998,1542.3200000000002,1810.81,2075.42,2265.7,2644.1099999999997,2055.96,1936.15,2436.42,1886.8899999999999,1845.83,2223.92,1777.91,2295.5699999999997,1677.44,1645.8400000000001,1897.53,2027.66,2039.1999999999998,1829.05,1807.22,2421.77,1536.35,2194.96,1990.69,1734.0300000000002,2061.88
2018Q4,2098.16,1528.03,1883.4,2240.14,2478.7299999999996,2852.8900000000003,2236.09,2140.0299999999997,2781.73,2043.54,2007.8200000000002,2373.11,1955.12,2549.45,1897.17,1868.51,1990.83,2159.76,2180.43,1960.08,1948.88,2517.31,1811.97,2436.31,2127.31,1821.09,2213.81
2019Q1,2004.8600000000001,1572.01,1857.6599999999999,2233.0,2463.63,2773.5699999999997,2193.62,2107.33,2716.16,1856.1599999999999,1836.49,2345.02,1859.87,2534.16,1816.85,1813.8899999999999,1966.23,2153.27,2169.0299999999997,1876.3899999999999,1949.04,2607.71,1680.3899999999999,2410.08,2178.45,1813.19,2127.2200000000003
2019Q2,1993.01,1431.54,1812.98,2184.9,2445.3599999999997,2750.2200000000003,2151.04,2050.48,2675.77,1875.42,1828.69,2295.27,1867.16,2293.11,1772.4299999999998,1790.15,1899.9899999999998,2089.77,2137.15,1813.91,1876.71,2564.29,1685.99,2408.62,2114.76,1735.1599999999999,2074.76
