Period,Canton,Cost_Group,Value,Type
2016Q1,AG,Autres,28.82,Historical
2016Q1,AG,Etablissements médico-sociaux,40.19,Historical
2016Q1,AG,Hôpitaux (ambulatoire),142.16,Historical
2016Q1,AG,Hôpitaux (séjours),211.28,Historical
2016Q1,AG,Laboratoire cabinet médical,17.50,Historical
2016Q1,AG,Laboratoires,19.58,Historical
2016Q1,AG,Médecins (ambulatoire) sans laboratoire,183.55,Historical
2016Q1,AG,Médicaments (médecin),28.13,Historical
2016Q1,AG,Pharmacies,135.71,Historical
2016Q1,AG,Physiothérapeutes,27.96,Historical
2016Q1,AG,SPITEX (soins à domicile),16.61,Historical
2016Q1,AG,Total,851.47,Historical
2016Q1,AI,Autres,26.97,Historical
2016Q1,AI,Etablissements médico-sociaux,51.69,Historical
2016Q1,AI,Hôpitaux (ambulatoire),101.73,Historical
2016Q1,AI,Hôpitaux (séjours),193.83,Historical
2016Q1,AI,Laboratoire cabinet médical,15.40,Historical
2016Q1,AI,Laboratoires,14.49,Historical
2016Q1,AI,Médecins (ambulatoire) sans laboratoire,135.87,Historical
2016Q1,AI,Médicaments (médecin),85.97,Historical
2016Q1,AI,Pharmacies,28.20,Historical
2016Q1,AI,Physiothérapeutes,16.79,Historical
2016Q1,AI,SPITEX (soins à domicile),22.98,Historical
2016Q1,AI,Total,693.92,Historical
2016Q1,AR,Autres,25.52,Historical
2016Q1,AR,Etablissements médico-sociaux,66.49,Historical
2016Q1,AR,Hôpitaux (ambulatoire),131.13,Historical
2016Q1,AR,Hôpitaux (séjours),234.51,Historical
2016Q1,AR,Laboratoire cabinet médical,15.34,Historical
2016Q1,AR,Laboratoires,16.21,Historical
2016Q1,AR,Médecins (ambulatoire) sans laboratoire,162.88,Historical
2016Q1,AR,Médicaments (médecin),89.80,Historical
2016Q1,AR,Pharmacies,37.79,Historical
2016Q1,AR,Physiothérapeutes,23.67,Historical
2016Q1,AR,SPITEX (soins à domicile),15.45,Historical
2016Q1,AR,Total,818.78,Historical
2016Q1,BE,Autres,35.71,Historical
2016Q1,BE,Etablissements médico-sociaux,73.62,Historical
2016Q1,BE,Hôpitaux (ambulatoire),178.01,Historical
2016Q1,BE,Hôpitaux (séjours),213.99,Historical
2016Q1,BE,Laboratoire cabinet médical,19.37,Historical
2016Q1,BE,Laboratoires,24.21,Historical
2016Q1,BE,Médecins (ambulatoire) sans laboratoire,207.90,Historical
2016Q1,BE,Médicaments (médecin),73.15,Historical
2016Q1,BE,Pharmacies,102.61,Historical
2016Q1,BE,Physiothérapeutes,26.68,Historical
2016Q1,BE,SPITEX (soins à domicile),35.05,Historical
2016Q1,BE,Total,990.30,Historical
2016Q1,BL,Autres,30.44,Historical
2016Q1,BL,Etablissements médico-sociaux,41.77,Historical
2016Q1,BL,Hôpitaux (ambulatoire),191.10,Historical
2016Q1,BL,Hôpitaux (séjours),257.35,Historical
2016Q1,BL,Laboratoire cabinet médical,18.54,Historical
2016Q1,BL,Laboratoires,26.19,Historical
2016Q1,BL,Médecins (ambulatoire) sans laboratoire,247.49,Historical
2016Q1,BL,Médicaments (médecin),85.93,Historical
2016Q1,BL,Pharmacies,104.24,Historical
2016Q1,BL,Physiothérapeutes,37.49,Historical
2016Q1,BL,SPITEX (soins à domicile),20.77,Historical
2016Q1,BL,Total,1061.31,Historical
2016Q1,BS,Autres,37.56,Historical
2016Q1,BS,Etablissements médico-sociaux,64.01,Historical
2016Q1,BS,Hôpitaux (ambulatoire),215.60,Historical
2016Q1,BS,Hôpitaux (séjours),289.09,Historical
2016Q1,BS,Laboratoire cabinet médical,16.23,Historical
2016Q1,BS,Laboratoires,27.67,Historical
2016Q1,BS,Médecins (ambulatoire) sans laboratoire,240.88,Historical
2016Q1,BS,Médicaments (médecin),26.44,Historical
2016Q1,BS,Pharmacies,188.35,Historical
2016Q1,BS,Physiothérapeutes,36.08,Historical
2016Q1,BS,SPITEX (soins à domicile),37.14,Historical
2016Q1,BS,Total,1179.06,Historical
2016Q1,CH,Autres,33.06,Historical
2016Q1,CH,Etablissements médico-sociaux,56.19,Historical
2016Q1,CH,Hôpitaux (ambulatoire),167.29,Historical
2016Q1,CH,Hôpitaux (séjours),203.87,Historical
2016Q1,CH,Laboratoire cabinet médical,16.72,Historical
2016Q1,CH,Laboratoires,26.77,Historical
2016Q1,CH,Médecins (ambulatoire) sans laboratoire,220.30,Historical
2016Q1,CH,Médicaments (médecin),57.90,Historical
2016Q1,CH,Pharmacies,114.51,Historical
2016Q1,CH,Physiothérapeutes,29.28,Historical
2016Q1,CH,SPITEX (soins à domicile),24.55,Historical
2016Q1,CH,Total,950.45,Historical
2016Q1,FR,Autres,36.08,Historical
2016Q1,FR,Etablissements médico-sociaux,54.91,Historical
2016Q1,FR,Hôpitaux (ambulatoire),156.60,Historical
2016Q1,FR,Hôpitaux (séjours),209.57,Historical
2016Q1,FR,Laboratoire cabinet médical,15.70,Historical
2016Q1,FR,Laboratoires,28.74,Historical
2016Q1,FR,Médecins (ambulatoire) sans laboratoire,213.89,Historical
2016Q1,FR,Médicaments (médecin),20.99,Historical
2016Q1,FR,Pharmacies,153.54,Historical
2016Q1,FR,Physiothérapeutes,23.38,Historical
2016Q1,FR,SPITEX (soins à domicile),20.50,Historical
2016Q1,FR,Total,933.89,Historical
2016Q1,GE,Autres,35.74,Historical
2016Q1,GE,Etablissements médico-sociaux,55.91,Historical
2016Q1,GE,Hôpitaux (ambulatoire),198.04,Historical
2016Q1,GE,Hôpitaux (séjours),191.00,Historical
2016Q1,GE,Laboratoire cabinet médical,9.21,Historical
2016Q1,GE,Laboratoires,54.23,Historical
2016Q1,GE,Médecins (ambulatoire) sans laboratoire,353.68,Historical
2016Q1,GE,Médicaments (médecin),16.56,Historical
2016Q1,GE,Pharmacies,192.69,Historical
2016Q1,GE,Physiothérapeutes,34.20,Historical
2016Q1,GE,SPITEX (soins à domicile),28.74,Historical
2016Q1,GE,Total,1169.99,Historical
2016Q1,GL,Autres,29.90,Historical
2016Q1,GL,Etablissements médico-sociaux,62.12,Historical
2016Q1,GL,Hôpitaux (ambulatoire),165.73,Historical
2016Q1,GL,Hôpitaux (séjours),197.88,Historical
2016Q1,GL,Laboratoire cabinet médical,17.94,Historical
2016Q1,GL,Laboratoires,20.63,Historical
2016Q1,GL,Médecins (ambulatoire) sans laboratoire,158.76,Historical
2016Q1,GL,Médicaments (médecin),121.53,Historical
2016Q1,GL,Pharmacies,32.82,Historical
2016Q1,GL,Physiothérapeutes,31.85,Historical
2016Q1,GL,SPITEX (soins à domicile),15.13,Historical
2016Q1,GL,Total,854.29,Historical
2016Q1,GR,Autres,28.16,Historical
2016Q1,GR,Etablissements médico-sociaux,50.93,Historical
2016Q1,GR,Hôpitaux (ambulatoire),142.27,Historical
2016Q1,GR,Hôpitaux (séjours),142.59,Historical
2016Q1,GR,Laboratoire cabinet médical,17.17,Historical
2016Q1,GR,Laboratoires,20.31,Historical
2016Q1,GR,Médecins (ambulatoire) sans laboratoire,161.33,Historical
2016Q1,GR,Médicaments (médecin),52.37,Historical
2016Q1,GR,Pharmacies,95.37,Historical
2016Q1,GR,Physiothérapeutes,23.78,Historical
2016Q1,GR,SPITEX (soins à domicile),20.50,Historical
2016Q1,GR,Total,754.77,Historical
2016Q1,JU,Autres,34.50,Historical
2016Q1,JU,Etablissements médico-sociaux,73.54,Historical
2016Q1,JU,Hôpitaux (ambulatoire),201.05,Historical
2016Q1,JU,Hôpitaux (séjours),210.94,Historical
2016Q1,JU,Laboratoire cabinet médical,13.08,Historical
2016Q1,JU,Laboratoires,23.58,Historical
2016Q1,JU,Médecins (ambulatoire) sans laboratoire,194.71,Historical
2016Q1,JU,Médicaments (médecin),21.83,Historical
2016Q1,JU,Pharmacies,179.82,Historical
2016Q1,JU,Physiothérapeutes,22.11,Historical
2016Q1,JU,SPITEX (soins à domicile),45.04,Historical
2016Q1,JU,Total,1020.19,Historical
2016Q1,LU,Autres,31.00,Historical
2016Q1,LU,Etablissements médico-sociaux,62.61,Historical
2016Q1,LU,Hôpitaux (ambulatoire),184.64,Historical
2016Q1,LU,Hôpitaux (séjours),188.29,Historical
2016Q1,LU,Laboratoire cabinet médical,16.38,Historical
2016Q1,LU,Laboratoires,20.33,Historical
2016Q1,LU,Médecins (ambulatoire) sans laboratoire,163.90,Historical
2016Q1,LU,Médicaments (médecin),98.60,Historical
2016Q1,LU,Pharmacies,38.50,Historical
2016Q1,LU,Physiothérapeutes,25.77,Historical
2016Q1,LU,SPITEX (soins à domicile),19.92,Historical
2016Q1,LU,Total,849.92,Historical
2016Q1,NE,Autres,47.23,Historical
2016Q1,NE,Etablissements médico-sociaux,75.83,Historical
2016Q1,NE,Hôpitaux (ambulatoire),194.64,Historical
2016Q1,NE,Hôpitaux (séjours),186.69,Historical
2016Q1,NE,Laboratoire cabinet médical,9.35,Historical
2016Q1,NE,Laboratoires,44.67,Historical
2016Q1,NE,Médecins (ambulatoire) sans laboratoire,217.62,Historical
2016Q1,NE,Médicaments (médecin),27.44,Historical
2016Q1,NE,Pharmacies,192.86,Historical
2016Q1,NE,Physiothérapeutes,24.47,Historical
2016Q1,NE,SPITEX (soins à domicile),27.14,Historical
2016Q1,NE,Total,1047.94,Historical
2016Q1,NW,Autres,35.49,Historical
2016Q1,NW,Etablissements médico-sociaux,50.36,Historical
2016Q1,NW,Hôpitaux (ambulatoire),172.60,Historical
2016Q1,NW,Hôpitaux (séjours),185.94,Historical
2016Q1,NW,Laboratoire cabinet médical,14.22,Historical
2016Q1,NW,Laboratoires,20.66,Historical
2016Q1,NW,Médecins (ambulatoire) sans laboratoire,148.44,Historical
2016Q1,NW,Médicaments (médecin),85.02,Historical
2016Q1,NW,Pharmacies,36.71,Historical
2016Q1,NW,Physiothérapeutes,23.23,Historical
2016Q1,NW,SPITEX (soins à domicile),17.16,Historical
2016Q1,NW,Total,789.83,Historical
2016Q1,OW,Autres,29.41,Historical
2016Q1,OW,Etablissements médico-sociaux,48.40,Historical
2016Q1,OW,Hôpitaux (ambulatoire),186.73,Historical
2016Q1,OW,Hôpitaux (séjours),179.33,Historical
2016Q1,OW,Laboratoire cabinet médical,14.85,Historical
2016Q1,OW,Laboratoires,21.32,Historical
2016Q1,OW,Médecins (ambulatoire) sans laboratoire,140.63,Historical
2016Q1,OW,Médicaments (médecin),101.06,Historical
2016Q1,OW,Pharmacies,31.35,Historical
2016Q1,OW,Physiothérapeutes,28.13,Historical
2016Q1,OW,SPITEX (soins à domicile),19.29,Historical
2016Q1,OW,Total,800.50,Historical
2016Q1,SG,Autres,28.20,Historical
2016Q1,SG,Etablissements médico-sociaux,46.84,Historical
2016Q1,SG,Hôpitaux (ambulatoire),132.20,Historical
2016Q1,SG,Hôpitaux (séjours),216.12,Historical
2016Q1,SG,Laboratoire cabinet médical,16.55,Historical
2016Q1,SG,Laboratoires,18.00,Historical
2016Q1,SG,Médecins (ambulatoire) sans laboratoire,178.99,Historical
2016Q1,SG,Médicaments (médecin),101.47,Historical
2016Q1,SG,Pharmacies,39.48,Historical
2016Q1,SG,Physiothérapeutes,28.21,Historical
2016Q1,SG,SPITEX (soins à domicile),16.79,Historical
2016Q1,SG,Total,822.84,Historical
2016Q1,SH,Autres,27.74,Historical
2016Q1,SH,Etablissements médico-sociaux,54.52,Historical
2016Q1,SH,Hôpitaux (ambulatoire),113.44,Historical
2016Q1,SH,Hôpitaux (séjours),183.36,Historical
2016Q1,SH,Laboratoire cabinet médical,18.08,Historical
2016Q1,SH,Laboratoires,17.81,Historical
2016Q1,SH,Médecins (ambulatoire) sans laboratoire,175.37,Historical
2016Q1,SH,Médicaments (médecin),61.17,Historical
2016Q1,SH,Pharmacies,111.41,Historical
2016Q1,SH,Physiothérapeutes,33.83,Historical
2016Q1,SH,SPITEX (soins à domicile),21.04,Historical
2016Q1,SH,Total,817.76,Historical
2016Q1,SO,Autres,33.09,Historical
2016Q1,SO,Etablissements médico-sociaux,47.15,Historical
2016Q1,SO,Hôpitaux (ambulatoire),193.03,Historical
2016Q1,SO,Hôpitaux (séjours),233.86,Historical
2016Q1,SO,Laboratoire cabinet médical,18.36,Historical
2016Q1,SO,Laboratoires,22.56,Historical
2016Q1,SO,Médecins (ambulatoire) sans laboratoire,198.49,Historical
2016Q1,SO,Médicaments (médecin),97.19,Historical
2016Q1,SO,Pharmacies,78.56,Historical
2016Q1,SO,Physiothérapeutes,28.03,Historical
2016Q1,SO,SPITEX (soins à domicile),23.56,Historical
2016Q1,SO,Total,973.88,Historical
2016Q1,SZ,Autres,27.41,Historical
2016Q1,SZ,Etablissements médico-sociaux,47.22,Historical
2016Q1,SZ,Hôpitaux (ambulatoire),144.40,Historical
2016Q1,SZ,Hôpitaux (séjours),189.43,Historical
2016Q1,SZ,Laboratoire cabinet médical,21.65,Historical
2016Q1,SZ,Laboratoires,24.88,Historical
2016Q1,SZ,Médecins (ambulatoire) sans laboratoire,199.73,Historical
2016Q1,SZ,Médicaments (médecin),103.85,Historical
2016Q1,SZ,Pharmacies,35.28,Historical
2016Q1,SZ,Physiothérapeutes,26.59,Historical
2016Q1,SZ,SPITEX (soins à domicile),15.74,Historical
2016Q1,SZ,Total,836.19,Historical
2016Q1,TG,Autres,28.74,Historical
2016Q1,TG,Etablissements médico-sociaux,43.47,Historical
2016Q1,TG,Hôpitaux (ambulatoire),153.67,Historical
2016Q1,TG,Hôpitaux (séjours),216.50,Historical
2016Q1,TG,Laboratoire cabinet médical,15.06,Historical
2016Q1,TG,Laboratoires,16.88,Historical
2016Q1,TG,Médecins (ambulatoire) sans laboratoire,160.90,Historical
2016Q1,TG,Médicaments (médecin),86.52,Historical
2016Q1,TG,Pharmacies,43.69,Historical
2016Q1,TG,Physiothérapeutes,32.55,Historical
2016Q1,TG,SPITEX (soins à domicile),20.65,Historical
2016Q1,TG,Total,818.64,Historical
2016Q1,TI,Autres,40.03,Historical
2016Q1,TI,Etablissements médico-sociaux,92.23,Historical
2016Q1,TI,Hôpitaux (ambulatoire),145.86,Historical
2016Q1,TI,Hôpitaux (séjours),210.22,Historical
2016Q1,TI,Laboratoire cabinet médical,21.35,Historical
2016Q1,TI,Laboratoires,32.47,Historical
2016Q1,TI,Médecins (ambulatoire) sans laboratoire,240.32,Historical
2016Q1,TI,Médicaments (médecin),18.49,Historical
2016Q1,TI,Pharmacies,194.95,Historical
2016Q1,TI,Physiothérapeutes,37.68,Historical
2016Q1,TI,SPITEX (soins à domicile),35.67,Historical
2016Q1,TI,Total,1069.25,Historical
2016Q1,UR,Autres,29.01,Historical
2016Q1,UR,Etablissements médico-sociaux,64.90,Historical
2016Q1,UR,Hôpitaux (ambulatoire),166.84,Historical
2016Q1,UR,Hôpitaux (séjours),195.72,Historical
2016Q1,UR,Laboratoire cabinet médical,14.13,Historical
2016Q1,UR,Laboratoires,11.16,Historical
2016Q1,UR,Médecins (ambulatoire) sans laboratoire,122.44,Historical
2016Q1,UR,Médicaments (médecin),87.51,Historical
2016Q1,UR,Pharmacies,18.69,Historical
2016Q1,UR,Physiothérapeutes,18.51,Historical
2016Q1,UR,SPITEX (soins à domicile),14.61,Historical
2016Q1,UR,Total,743.51,Historical
2016Q1,VD,Autres,38.26,Historical
2016Q1,VD,Etablissements médico-sociaux,61.17,Historical
2016Q1,VD,Hôpitaux (ambulatoire),207.34,Historical
2016Q1,VD,Hôpitaux (séjours),171.01,Historical
2016Q1,VD,Laboratoire cabinet médical,13.08,Historical
2016Q1,VD,Laboratoires,36.36,Historical
2016Q1,VD,Médecins (ambulatoire) sans laboratoire,258.28,Historical
2016Q1,VD,Médicaments (médecin),12.85,Historical
2016Q1,VD,Pharmacies,182.87,Historical
2016Q1,VD,Physiothérapeutes,28.34,Historical
2016Q1,VD,SPITEX (soins à domicile),36.97,Historical
2016Q1,VD,Total,1046.53,Historical
2016Q1,VS,Autres,34.63,Historical
2016Q1,VS,Etablissements médico-sociaux,60.46,Historical
2016Q1,VS,Hôpitaux (ambulatoire),184.86,Historical
2016Q1,VS,Hôpitaux (séjours),170.35,Historical
2016Q1,VS,Laboratoire cabinet médical,17.53,Historical
2016Q1,VS,Laboratoires,23.06,Historical
2016Q1,VS,Médecins (ambulatoire) sans laboratoire,207.18,Historical
2016Q1,VS,Médicaments (médecin),17.63,Historical
2016Q1,VS,Pharmacies,166.37,Historical
2016Q1,VS,Physiothérapeutes,27.24,Historical
2016Q1,VS,SPITEX (soins à domicile),14.78,Historical
2016Q1,VS,Total,924.12,Historical
2016Q1,ZG,Autres,25.93,Historical
2016Q1,ZG,Etablissements médico-sociaux,42.63,Historical
2016Q1,ZG,Hôpitaux (ambulatoire),147.11,Historical
2016Q1,ZG,Hôpitaux (séjours),175.42,Historical
2016Q1,ZG,Laboratoire cabinet médical,17.40,Historical
2016Q1,ZG,Laboratoires,29.33,Historical
2016Q1,ZG,Médecins (ambulatoire) sans laboratoire,199.73,Historical
2016Q1,ZG,Médicaments (médecin),87.93,Historical
2016Q1,ZG,Pharmacies,40.67,Historical
2016Q1,ZG,Physiothérapeutes,30.09,Historical
2016Q1,ZG,SPITEX (soins à domicile),13.93,Historical
2016Q1,ZG,Total,810.17,Historical
2016Q1,ZH,Autres,30.77,Historical
2016Q1,ZH,Etablissements médico-sociaux,45.93,Historical
2016Q1,ZH,Hôpitaux (ambulatoire),144.71,Historical
2016Q1,ZH,Hôpitaux (séjours),205.74,Historical
