period,type,canton,group,value
2016Q1,estimate,AG,Autres,28.82
2016Q1,estimate,AG,Etablissements médico-sociaux,40.19
2016Q1,estimate,AG,Hôpitaux (ambulatoire),142.16
2016Q1,estimate,AG,Hôpitaux (séjours),211.28
2016Q1,estimate,AG,Laboratoire cabinet médical,17.50
2016Q1,estimate,AG,Laboratoires,19.58
2016Q1,estimate,AG,Médecins (ambulatoire) sans laboratoire,183.55
2016Q1,estimate,AG,Médicaments (médecin),28.13
2016Q1,estimate,AG,Pharmacies,135.71
2016Q1,estimate,AG,Physiothérapeutes,27.96
2016Q1,estimate,AG,SPITEX (soins à domicile),16.61
2016Q1,estimate,AI,Autres,26.97
2016Q1,estimate,AI,Etablissements médico-sociaux,51.69
2016Q1,estimate,AI,Hôpitaux (ambulatoire),101.73
2016Q1,estimate,AI,Hôpitaux (séjours),193.83
2016Q1,estimate,AI,Laboratoire cabinet médical,15.40
2016Q1,estimate,AI,Laboratoires,14.49
2016Q1,estimate,AI,Médecins (ambulatoire) sans laboratoire,135.87
2016Q1,estimate,AI,Médicaments (médecin),85.97
2016Q1,estimate,AI,Pharmacies,28.20
2016Q1,estimate,AI,Physiothérapeutes,16.79
2016Q1,estimate,AI,SPITEX (soins à domicile),22.98
2016Q1,estimate,AR,Autres,25.52
2016Q1,estimate,AR,Etablissements médico-sociaux,66.49
2016Q1,estimate,AR,Hôpitaux (ambulatoire),131.13
2016Q1,estimate,AR,Hôpitaux (séjours),234.51
2016Q1,estimate,AR,Laboratoire cabinet médical,15.34
2016Q1,estimate,AR,Laboratoires,16.21
2016Q1,estimate,AR,Médecins (ambulatoire) sans laboratoire,162.88
2016Q1,estimate,AR,Médicaments (médecin),89.80
2016Q1,estimate,AR,Pharmacies,37.79
2016Q1,estimate,AR,Physiothérapeutes,23.67
2016Q1,estimate,AR,SPITEX (soins à domicile),15.45
2016Q1,estimate,BE,Autres,35.71
2016Q1,estimate,BE,Etablissements médico-sociaux,73.62
2016Q1,estimate,BE,Hôpitaux (ambulatoire),178.01
2016Q1,estimate,BE,Hôpitaux (séjours),213.99
2016Q1,estimate,BE,Laboratoire cabinet médical,19.37
2016Q1,estimate,BE,Laboratoires,24.21
2016Q1,estimate,BE,Médecins (ambulatoire) sans laboratoire,207.90
2016Q1,estimate,BE,Médicaments (médecin),73.15
2016Q1,estimate,BE,Pharmacies,102.61
2016Q1,estimate,BE,Physiothérapeutes,26.68
2016Q1,estimate,BE,SPITEX (soins à domicile),35.05
2016Q1,estimate,BL,Autres,30.44
2016Q1,estimate,BL,Etablissements médico-sociaux,41.77
2016Q1,estimate,BL,Hôpitaux (ambulatoire),191.10
2016Q1,estimate,BL,Hôpitaux (séjours),257.35
2016Q1,estimate,BL,Laboratoire cabinet médical,18.54
2016Q1,estimate,BL,Laboratoires,26.19
2016Q1,estimate,BL,Médecins (ambulatoire) sans laboratoire,247.49
2016Q1,estimate,BL,Médicaments (médecin),85.93
2016Q1,estimate,BL,Pharmacies,104.24
2016Q1,estimate,BL,Physiothérapeutes,37.49
2016Q1,estimate,BL,SPITEX (soins à domicile),20.77
2016Q1,estimate,BS,Autres,37.56
2016Q1,estimate,BS,Etablissements médico-sociaux,64.01
2016Q1,estimate,BS,Hôpitaux (ambulatoire),215.60
2016Q1,estimate,BS,Hôpitaux (séjours),289.09
