period,type,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2016Q4,estimate,3473.90,2770.19,3279.77,3883.50,4198.17,4688.05,3461.10,4543.08,3331.70,3237.74,4018.23,3292.49,4048.50,3114.91,3189.89,3325.01,3588.47,3845.11,3306.99,3275.38,4183.09,2984.71,4148.79,3542.47,3130.26,3746.79,93608.29
2017Q1,estimate,3540.35,2767.97,3267.45,3915.80,4257.59,4754.27,3491.03,4628.13,3390.07,3304.88,4116.36,3334.50,4072.81,3140.03,3187.05,3372.63,3774.47,3879.50,3358.39,3305.41,4155.56,3019.76,4211.85,3592.26,3140.31,3781.39,94759.82
2017Q2,estimate,3567.27,2724.25,3242.79,3913.10,4218.12,4725.45,3513.70,4645.25,3346.39,3317.03,4112.06,3352.25,4124.48,3146.95,3194.08,3370.26,3809.52,3844.51,3334.92,3270.35,4254.49,3043.50,4182.02,3556.38,3139.81,3753.11,94702.04
2017Q3,estimate,3522.38,2690.89,3243.28,3910.71,4226.18,4749.14,3508.10,4674.61,3393.23,3327.45,4109.82,3343.08,4102.97,3189.03,3201.77,3379.77,3771.32,3813.25,3334.30,3283.77,4256.87,2989.89,4173.76,3576.95,3130.62,3760.47,94663.61
2017Q4,estimate,3544.64,2678.94,3273.30,3949.22,4264.52,4777.64,3548.41,4742.98,3419.20,3367.08,4140.74,3346.52,4150.74,3205.62,3211.20,3414.33,3738.79,3847.87,3356.52,3315.01,4346.66,2957.33,4246.76,3647.83,3159.03,3789.56,95440.44
2018Q1,estimate,3495.40,2632.55,3246.69,3937.92,4216.70,4756.07,3506.92,4664.80,3349.05,3346.56,4091.40,3212.46,4201.79,3171.03,3188.61,3362.95,3633.82,3808.43,3289.70,3291.46,4355.64,2886.74,4186.48,3633.05,3111.97,3756.40,94334.59
2018Q2,estimate,3500.64,2636.60,3214.30,3948.55,4244.37,4836.98,3504.81,4717.60,3359.78,3319.66,4072.67,3067.69,4188.49,3102.22,3097.94,3301.70,3611.92,3819.19,3269.32,3304.35,4305.08,2855.63,4180.51,3629.08,3073.72,3749.80,93912.60
2018Q3,estimate,3510.82,2723.97,3262.05,3963.12,4261.00,4893.97,3566.78,4742.21,3390.16,3354.03,4107.33,3082.42,4255.42,3079.32,3062.11,3354.01,3634.61,3847.91,3314.64,3343.03,4408.48,2890.18,4202.27,3667.36,3106.05,3784.65,94807.90
2018Q4,estimate,3542.37,2747.04,3285.96,3965.17,4302.94,4979.78,3656.89,4777.80,3475.89,3407.04,4158.93,3160.91,4338.69,3152.41,3135.37,3398.89,3675.82,3844.51,3370.06,3375.46,4438.87,2991.63,4217.16,3711.72,3143.63,3805.57,96060.51
2019Q1,estimate,3591.12,2831.87,3369.60,3978.89,4360.19,5028.41,3697.75,4854.84,3484.13,3444.38,4163.19,3261.80,4374.05,3214.28,3195.07,3488.26,3761.99,3868.97,3414.77,3452.28,4581.00,3065.61,4276.63,3748.87,3204.01,3845.87,97557.83
2019Q2,estimate,3633.84,2819.83,3423.33,3998.40,4428.62,5057.66,3760.14,4885.07,3519.92,3430.68,4219.85,3441.71,4399.78,3304.94,3276.37,3576.32,3853.90,3907.03,3443.40,3504.12,4628.64,3109.85,4347.77,3838.66,3257.40,3887.73,98954.96
2019Q3,estimate,3672.35,2756.84,3406.84,4046.69,4496.97,5069.76,3781.59,4926.86,3560.14,3497.83,4248.57,3531.31,4390.33,3374.33,3341.88,3550.74,3886.95,3931.23,3448.22,3534.49,4617.68,3156.30,4376.83,3851.26,3287.84,3905.40,99649.23
2019Q4,estimate,3698.31,2779.22,3389.50,4081.41,4547.89,5079.05,3764.17,4942.94,3516.22,3500.86,4274.39,3554.39,4345.97,3412.85,3350.04,3533.71,3895.15,3985.56,3470.92,3540.44,4695.20,3184.18,4377.03,3881.10,3321.40,3920.56,100042.46
2020Q1,estimate,3773.57,2794.99,3444.69,4134.55,4647.35,5186.94,3814.42,4998.77,3623.71,3523.55,4389.52,3621.52,4430.58,3470.24,3390.46,3557.75,3951.52,4062.83,3533.33,3565.53,4623.71,3214.47,4409.12,3929.13,3360.16,3951.97,101404.38
2020Q2,estimate,3715.23,2768.85,3412.99,4088.80,4544.44,5106.43,3757.80,4929.27,3604.25,3519.88,4386.93,3602.92,4456.98,3449.17,3323.69,3507.18,3905.69,3986.41,3501.68,3539.23,4565.84,3184.69,4380.35,3881.46,3351.74,3888.96,100360.86
2020Q3,estimate,3735.33,2777.80,3405.12,4090.02,4534.18,5095.75,3745.28,4919.50,3545.87,3433.26,4367.24,3515.03,4455.52,3414.75,3290.08,3518.84,3885.91,4017.14,3519.29,3546.18,4553.29,3145.03,4357.69,3862.75,3324.09,3873.08,99928.02
2020Q4,estimate,3767.79,2785.86,3416.21,4128.43,4569.54,5105.43,3785.28,4919.53,3620.90,3472.85,4377.97,3525.00,4503.44,3425.67,3315.20,3571.85,3925.12,4039.25,3542.50,3599.90,4612.27,3150.95,4384.72,3863.98,3344.58,3901.76,100655.98
2021Q1,estimate,3717.52,2753.09,3389.35,4092.28,4500.73,5028.49,3741.73,4895.07,3576.63,3471.98,4326.19,3516.55,4456.68,3413.59,3315.49,3548.84,3884.42,3985.56,3548.59,3597.71,4673.08,3158.08,4395.70,3787.42,3326.37,3881.97,99983.11
2021Q2,estimate,3807.82,2846.78,3420.19,4180.90,4611.38,5134.52,3807.46,4984.95,3623.98,3563.95,4343.22,3536.35,4502.95,3485.25,3431.87,3597.42,3985.58,4094.62,3651.64,3645.80,4780.99,3217.63,4440.46,3833.10,3394.72,3980.27,101903.80
2021Q3,estimate,3868.55,2910.62,3501.22,4237.34,4691.63,5229.15,3861.69,5045.26,3660.94,3682.22,4371.29,3630.68,4639.27,3550.53,3504.06,3656.15,4089.92,4152.41,3683.33,3699.72,4930.06,3302.08,4556.08,3911.44,3462.08,4042.32,103870.04
2021Q4,estimate,3893.49,2937.74,3570.79,4289.33,4723.61,5287.88,3883.60,5141.58,3673.20,3702.10,4433.04,3629.62,4830.42,3529.38,3505.25,3686.04,4173.66,4201.44,3709.28,3770.61,4991.88,3317.26,4636.61,3985.80,3498.77,4106.70,105109.08
2022Q1,estimate,3926.09,2990.80,3594.57,4335.12,4804.45,5294.24,3939.52,5191.46,3654.27,3755.09,4497.22,3658.96,4847.73,3543.72,3537.44,3721.77,4174.39,4248.82,3706.93,3782.25,5094.71,3295.53,4639.05,4061.48,3527.74,4155.74,105979.09
2022Q2,estimate,3939.02,3029.80,3684.72,4333.03,4839.79,5265.93,3969.33,5205.65,3708.28,3760.11,4540.88,3682.77,4808.45,3578.44,3522.02,3798.49,4193.10,4295.30,3727.18,3811.82,5141.15,3291.14,4658.24,4074.79,3571.11,4184.56,106615.10
2022Q3,estimate,3955.39,3059.14,3716.55,4376.14,4849.16,5250.60,4008.74,5248.86,3761.64,3753.28,4617.68,3658.66,4840.85,3585.23,3514.19,3811.57,4158.78,4306.43,3743.77,3822.13,5155.87,3305.13,4649.14,4069.71,3587.85,4194.00,107000.49
2022Q4,estimate,3989.51,3073.36,3741.95,4442.69,4922.65,5318.84,4080.51,5287.82,3793.58,3818.77,4662.99,3718.34,4792.24,3665.49,3545.06,3822.94,4182.35,4344.32,3765.04,3827.66,5182.56,3296.03,4709.87,4083.94,3629.11,4183.01,107880.63
2023Q1,estimate,4072.30,3125.43,3826.77,4537.45,4979.00,5412.21,4149.31,5345.18,3879.03,3888.04,4712.34,3792.40,4845.68,3719.18,3558.57,3875.12,4292.70,4446.68,3826.16,3908.92,5285.63,3422.41,4759.73,4161.82,3689.31,4237.75,109749.12
2023Q2,estimate,4145.76,3152.13,3878.41,4651.11,5042.85,5510.40,4190.80,5445.34,3895.78,3942.56,4733.50,3808.90,4985.63,3700.58,3570.31,3880.66,4319.25,4476.73,3812.72,3954.68,5417.58,3480.16,4842.03,4224.21,3683.70,4268.80,111014.58
2023Q3,estimate,4190.53,3156.77,3891.44,4665.41,5078.82,5550.51,4221.77,5533.93,3926.22,3956.35,4773.51,3857.61,5003.08,3751.97,3585.51,3905.17,4350.77,4522.27,3859.55,4002.40,5479.16,3529.34,4910.13,4250.33,3712.14,4301.88,111966.57
2023Q4,estimate,4234.18,3226.84,3952.00,4680.72,5077.38,5516.94,4210.22,5570.53,4005.38,3991.74,4833.89,3854.57,4966.36,3724.41,3569.41,3935.84,4371.18,4542.21,3878.92,4018.09,5561.70,3575.08,4931.02,4250.47,3693.07,4358.34,112530.49
2024Q1,estimate,4213.71,3234.13,3927.13,4673.67,5105.15,5478.20,4200.22,5624.45,4053.15,3982.00,4916.07,3827.71,5110.71,3670.86,3552.38,3911.05,4418.67,4558.39,3907.24,4022.20,5589.70,3540.02,5019.05,4278.99,3670.89,4402.95,112888.69
2024Q2,estimate,4310.80,3260.04,3955.05,4676.89,5175.44,5536.12,4302.45,5681.85,4148.76,4016.87,5095.49,3949.46,5156.03,3684.00,3611.70,3995.07,4473.35,4629.29,3983.34,4077.29,5745.32,3585.26,5113.09,4335.41,3709.77,4480.91,114689.05
2024Q3,estimate,4377.77,3350.75,4036.67,4728.54,5220.87,5585.13,4345.46,5668.03,4224.40,4084.56,5125.30,3996.44,5207.42,3669.91,3643.40,4058.30,4531.67,4694.02,4013.45,4106.15,5816.53,3605.29,5162.68,4395.40,3825.68,4551.69,116025.51
2024Q4,estimate,4407.19,3420.90,4102.23,4804.33,5298.51,5649.95,4419.48,5775.69,4187.78,4105.45,5185.00,4022.28,5330.72,3762.87,3696.20,4093.34,4579.74,4757.41,4052.23,4173.80,5894.62,3648.66,5274.70,4501.26,3879.92,4592.28,117616.54
2025Q1,estimate,4450.10,3438.91,4175.05,4866.34,5351.38,5740.03,4486.62,5786.68,4203.63,4182.82,5157.04,4096.31,5254.80,3887.70,3758.59,4160.42,4503.01,4799.77,4095.49,4212.52,5915.05,3702.93,5267.41,4475.89,3947.47,4610.05,118526.01
2025Q2,estimate,4520.29,3469.97,4215.04,4917.72,5373.14,5707.31,4513.48,5808.37,4186.27,4159.32,5222.56,4121.87,5380.12,4009.73,3823.56,4187.49,4471.76,4875.16,4174.38,4266.35,5857.57,3764.40,5266.35,4545.21,4059.70,4664.05,119561.17
