year,canton,mppa_a,mppa_b,mppa_c,mppa_d,mppa_e,hm_a,hm_b,hm_c,hm_d,hm_e,tot_a,tot_b,tot_c,tot_d,tot_e
2006,ZH,,6.3,8.5,14.8,.2,44.7,7226.9,4570.9,11842.6,70.3,44.7,7233.2,4579.4,11857.4,70.5
2006,BE,,,,,,16.6,7341,4140.3,11497.9,65.7,16.6,7341,4140.3,11497.9,65.7
2006,LU,,9.6,13.2,22.8,,2.8,2622.8,1330.6,3956.2,14.2,2.8,2632.4,1343.8,3979,14.2
2006,UR,,10.3,10.5,20.8,,,251.8,102.6,354.5,1.7,,262.1,113.1,375.3,1.7
2006,SZ,,,,,,,709.1,439.6,1148.7,7.4,,709.1,439.6,1148.7,7.4
2006,OW,,,,,,,220.3,137.8,358.2,2,,220.3,137.8,358.2,2
2006,NW,,12.9,5.9,18.8,,,199,115.2,314.2,1,,211.9,121.1,333,1
2006,GL,,111.1,61.7,172.7,.5,,115.8,83,198.8,1,,226.8,144.7,371.5,1.5
2006,ZG,,,,,,1.2,455.5,290.5,747.2,7.7,1.2,455.5,290.5,747.2,7.7
2006,FR,,44.8,68.40000000000001,113.2,16.7,1.3,1771.1,724.2,2496.6,2.6,1.3,1815.9,792.6,2609.8,19.2
2006,SO,,,,,,,1313.5,756.5,2070,8.4,,1313.5,756.5,2070,8.4
2006,BS,,,,,,,1714.7,589,2303.7,5.1,,1714.7,589,2303.7,5.1
2006,BL,,13.2,12.9,26.1,,1.5,1396.9,701.8,2100.2,3,1.5,1410.1,714.7,2126.3,3
2006,SH,,,,,,,555.7,350.1,905.8,6.4,,555.7,350.1,905.8,6.4
2006,AR,,77.3,58,135.3,.2,,287.7,197,484.7,2.4,,365,255,620,2.6
2006,AI,,28.9,37.8,66.7,.9,,,,,,,28.9,37.8,66.7,.9
2006,SG,,56.5,49.7,106.2,.7,.5,2573,1386.5,3959.9,17.6,.5,2629.5,1436.2,4066.2,18.3
2006,GR,,,,,,2,1176.8,653.9,1832.6,6.5,2,1176.8,653.9,1832.6,6.5
2006,AG,,153,59.1,212.1,.9,3.6,2471.2,1350.7,3825.5,19.4,3.6,2624.2,1409.8,4037.6,20.3
2006,TG,,20.1,15,35.1,,.4,1095.8,788.8,1885,7.6,.4,1115.9,803.8,1920.1,7.6
2006,TI,,,,,,21,2315.7,1200.5,3537.1,25.8,21,2315.7,1200.5,3537.1,25.8
2006,VD,,8.5,22.9,31.4,0,.2,3653.6,1843.1,5496.9,3.3,.2,3662.1,1865.9,5528.2,3.4
2006,VS,,,,,,1.1,1525.2,670.8,2197.1,3.9,1.1,1525.2,670.8,2197.1,3.9
2006,NE,,,,,,9.4,1438.1,748.7,2196.2,5.4,9.4,1438.1,748.7,2196.2,5.4
2006,GE,,9.1,2.5,11.6,,7.9,2148.1,1001.3,3157.2,9.300000000000001,7.9,2157.2,1003.7,3168.8,9.300000000000001
2006,JU,,,,,,3,466,209.8,678.7,.1,3,466,209.8,678.7,.1
2006,CH,,561.6,426.1,987.7,20.2,117.1,45045.5,24383,69545.5,297.7,117.1,45607.1,24809.1,70533.2,317.9
2007,ZH,,12.6,12,24.7,1.281,34.3,7927.2,4633.1,12594.6,59.773,34.3,7939.9,4645.2,12619.3,61.054
2007,BE,,,,,,10.8,7412.1,4002.5,11425.4,51.727,10.8,7412.1,4002.5,11425.4,51.727
2007,LU,,11.9,15.2,27.1,,3.8,2613.4,1306.4,3923.6,19.129,3.8,2625.3,1321.5,3950.7,19.129
2007,UR,,13.7,12.4,26.1,,,285.4,113,398.4,1.148,,299.1,125.3,424.5,1.148
2007,SZ,,,,,,,737.9,436.9,1174.7,6.169,,737.9,436.9,1174.7,6.169
2007,OW,,,,,,,226.2,137.5,363.7,.416,,226.2,137.5,363.7,.416
